date,event,txhash,role,account,sender,role_name
2023-11-14,RoleGranted,0x9b099ba3c8e64ea8904cc6de83f2245e309e0f91c3ce1f976328b601e4dda314,0000000000000000000000000000000000000000000000000000000000000000,0x3b0aaf6e6fcd4a7ceef8c92c32dfea9e64dc1862,0x8de54b1cefedeab1766b947c7d9a9963436e8fae,0000000000000000000000000000000000000000000000000000000000000000
2024-01-17,RoleGranted,0x8f4cce76500119da6d1395825a4e62e9d766b0bae72f3c6561ddcf365a64f18c,beec13769b5f410b0584f69811bfd923818456d5edcf426b0e31cf90eed7a3f6,0x71e4f98e8f20c88112489de3dded4489802a3a87,0x3b0aaf6e6fcd4a7ceef8c92c32dfea9e64dc1862,REWARDER_ROLE
2024-03-12,RoleGranted,0xbc6bf2b600730b448273374ef18e7415d57fc4d8465ea2385a3faaa6e83bd43c,beec13769b5f410b0584f69811bfd923818456d5edcf426b0e31cf90eed7a3f6,0xf2fa332bd83149c66b09b45670bce64746c6b439,0x3b0aaf6e6fcd4a7ceef8c92c32dfea9e64dc1862,REWARDER_ROLE
2024-04-29,RoleGranted,0x8b11f3e7eb5f7039df3b6e63bae3719c6d5512dbca719a08a57721444c9579d2,0a4af4bcc1942295207d9f047442ebdae6170a6e324850f758b14cf99b65c3bd,0x9fa7bb759641fcd37fe4ae41f725e0f653f2c726,0x3b0aaf6e6fcd4a7ceef8c92c32dfea9e64dc1862,FULL_RESTRICTED_STAKER_ROLE
2024-06-10,RoleGranted,0xd0e414070cfb019c56e8ec2a3f9b83376be083a64f7ba91260d7ee742f644492,0a4af4bcc1942295207d9f047442ebdae6170a6e324850f758b14cf99b65c3bd,0x841ddf093f5188989fa1524e7b893de64b421f47,0x3b0aaf6e6fcd4a7ceef8c92c32dfea9e64dc1862,FULL_RESTRICTED_STAKER_ROLE
2024-06-10,RoleGranted,0x1ce0baf587e3046b0e666d0a05a8d786e1ea5bff211d95999916ee0c07bd7f14,0a4af4bcc1942295207d9f047442ebdae6170a6e324850f758b14cf99b65c3bd,0x4e48c46779b3b16d63375751467d7eee34d41c3d,0x3b0aaf6e6fcd4a7ceef8c92c32dfea9e64dc1862,FULL_RESTRICTED_STAKER_ROLE
2024-06-10,RoleGranted,0x52d70e8de67d1cc63fa89af9c8d738a1309c9c1cb1e7e2c105cb955b359794bc,0a4af4bcc1942295207d9f047442ebdae6170a6e324850f758b14cf99b65c3bd,0x31d3243cfb54b34fc9c73e1cb1137124bd6b13e1,0x3b0aaf6e6fcd4a7ceef8c92c32dfea9e64dc1862,FULL_RESTRICTED_STAKER_ROLE
2024-06-10,RoleGranted,0x0e5ded7b3d26f6860095d59e61af65a5e1c4ce3beef7045c9be158414c415ae5,0a4af4bcc1942295207d9f047442ebdae6170a6e324850f758b14cf99b65c3bd,0x48d7c1dd4214b41eda3301bca434348f8d1c5eb6,0x3b0aaf6e6fcd4a7ceef8c92c32dfea9e64dc1862,FULL_RESTRICTED_STAKER_ROLE
2024-06-10,RoleGranted,0xce250a6e89385b7c1eb6ee2649f9e623484b6ab1b3304b982dcf76c7841b4821,0a4af4bcc1942295207d9f047442ebdae6170a6e324850f758b14cf99b65c3bd,0x050c7e9c62bf991841827f37745ddadb563feb70,0x3b0aaf6e6fcd4a7ceef8c92c32dfea9e64dc1862,FULL_RESTRICTED_STAKER_ROLE
2024-06-18,RoleGranted,0xd039b316c309911f73cac17ba2bf006540c35df25e909d427d7d374ae917832e,f988e4fb62b8e14f4820fed03192306ddf4d7dbfa215595ba1c6ba4b76b369ee,0x21f9236e8ee76474284fe8cde6ece6c8d19d781e,0x3b0aaf6e6fcd4a7ceef8c92c32dfea9e64dc1862,BLACKLIST_MANAGER_ROLE
2024-06-18,RoleGranted,0x2e6cd131956a0fe0fb4a92e66afd8279b2f17ecf903b379ed8f2cef4000ed5f9,0a4af4bcc1942295207d9f047442ebdae6170a6e324850f758b14cf99b65c3bd,0x6d8f65b47b6d1f719ea54ccca2f21c2e6310678e,0x21f9236e8ee76474284fe8cde6ece6c8d19d781e,FULL_RESTRICTED_STAKER_ROLE
2024-06-18,RoleGranted,0x6b7be9103b2b7193871edd135320063480dd5c615c0ca57db2e6e2eac3927176,0a4af4bcc1942295207d9f047442ebdae6170a6e324850f758b14cf99b65c3bd,0xf2087962b909f109ec40637d980f57dabf71a0bc,0x21f9236e8ee76474284fe8cde6ece6c8d19d781e,FULL_RESTRICTED_STAKER_ROLE
