address,symbol,block,supply,ts
0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,USDC,45469654,698999999839804027446539541,2025-01-04 06:28:49
0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,USDC,45464654,698999999839804027446539541,2025-01-04 02:18:49
0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,USDC,45459654,698999999839804027446539541,2025-01-03 22:08:48
0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,USDC,45454654,698999999839804027446539541,2025-01-03 17:58:48
0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,USDC,45449654,698999999839804027446539541,2025-01-03 13:48:48
0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,USDC,45444654,698999999839804027446539541,2025-01-03 09:38:48
0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,USDC,45439654,698999999839804027446539541,2025-01-03 05:28:45
0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,USDC,45434654,698999999839804027446539541,2025-01-03 01:18:44
0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,USDC,45429654,698999999839804027446539541,2025-01-02 21:08:44
0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,USDC,45424654,698999999839804027446539541,2025-01-02 16:58:44
0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,USDC,45419654,698999999839804027446539541,2025-01-02 12:48:44
0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,USDC,45414654,698999999839804027446539541,2025-01-02 08:38:44
0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,USDC,45409654,698999999839804027446539541,2025-01-02 04:28:43
0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,USDC,45404654,698999999839804027446539541,2025-01-02 00:18:43
0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,USDC,45399654,698999999839804027446539541,2025-01-01 20:08:42
0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,USDC,45394654,698999999839804027446539541,2025-01-01 15:58:42
0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,USDC,45389654,698999999839804027446539541,2025-01-01 11:48:41
0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,USDC,45384654,698999999839804027446539541,2025-01-01 07:38:41
0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,USDC,45379654,698999999839804027446539541,2025-01-01 03:28:41
0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,USDC,45374654,698999999839804027446539541,2024-12-31 23:18:35
0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,USDC,45369654,698999999839804027446539541,2024-12-31 19:08:35
0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,USDC,45364654,698999999839804027446539541,2024-12-31 14:58:35
0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,USDC,45359654,698999999839804027446539541,2024-12-31 10:48:35
0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,USDC,45354654,698999999839804027446539541,2024-12-31 06:38:31
0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,USDC,45349654,698999999839804027446539541,2024-12-31 02:28:31
0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,USDC,45344654,698999999839804027446539541,2024-12-30 22:18:31
0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,USDC,45339654,698999999839804027446539541,2024-12-30 18:08:29
0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,USDC,45334654,698999999839804027446539541,2024-12-30 13:58:25
0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,USDC,45329654,698999999839804027446539541,2024-12-30 09:48:25
0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,USDC,45324654,698999999839804027446539541,2024-12-30 05:38:25
0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,USDC,45319654,698999999839804027446539541,2024-12-30 01:28:25
0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,USDC,45314654,698999999839804027446539541,2024-12-29 21:18:23
0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,USDC,45309654,698999999839804027446539541,2024-12-29 17:08:22
0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,USDC,45304654,698999999839804027446539541,2024-12-29 12:58:16
0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,USDC,45299654,698999999839804027446539541,2024-12-29 08:48:16
0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,USDC,45294654,698999999839804027446539541,2024-12-29 04:38:16
